Point Id;From Station;Stored Status;Solution Type;Solution Optimisation;Satellite System;Frequency;Occupation Mode;Start Time;End Time;Duration;Antenna Height [m];Antenna Name;Ephemeris Type;Easting [m];Northing [m];Ortho. Height [m];Geoid Separation [m];WGS84 Latitude [°];WGS84 Longitude [°];WGS84 Ellip. Height [m];WGS84 Cartesian X [m];WGS84 Cartesian Y [m];WGS84 Cartesian Z [m];”x [m];”y [m];”z [m];Slope Dist. [m];SD Slope Dist. [m]
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/07/2021 06:59;02/08/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.918;98.945.261.424;130.444;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";64.796;-11.471.800.451;62.732.360.798;-1.054.812.426;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/08/2021 06:59;02/09/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.342;98.945.260.112;130.734;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";65.086;-11.471.798.949;62.732.361.345;-1.054.813.743;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/09/2021 06:59;02/10/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.837;98.945.259.435;127.532;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";61.883;-11.471.797.875;62.732.358.274;-1.054.814.366;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/10/2021 06:59;02/11/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.742;98.945.260.911;125.529;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";59.881;-11.471.798.409;62.732.356.166;-1.054.812.857;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/11/2021 06:59;02/12/2021 06:59;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.585;98.945.260.269;132.466;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";66.818;-11.471.800.484;62.732.362.827;-1.054.813.614;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/12/2021 06:59;02/13/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.651;98.945.260.874;129.035;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";63.387;-11.471.798.950;62.732.359.630;-1.054.812.952;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/13/2021 06:59:42;02/14/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.905;98.945.260.927;128.237;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";62.589;-11.471.799.057;62.732.358.801;-1.054.812.886;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/14/2021 06:59:42;02/15/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.738.134;98.945.260.821;128.555;-65.648;"0° 57' 14.34"" S";"100° 21' 47.21"" E";62.907;-11.471.799.339;62.732.359.071;-1.054.812.997;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/15/2021 06:59:42;02/16/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.737.103;98.945.259.569;130.307;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.658;-11.471.798.636;62.732.360.958;-1.054.814.279;-;-;-;-;0.0000
cpdg;;Stored;Navigated;Iono Minimised;GPS;L1/L2;Static;02/16/2021 06:59:42;02/17/2021 06:59:12;23:59:30;0.0000;TPSCR.G3;Broadcast;6.516.736.985;98.945.260.413;130.190;-65.648;"0° 57' 14.34"" S";"100° 21' 47.20"" E";64.542;-11.471.798.501;62.732.360.879;-1.054.813.433;-;-;-;-;0.0000
